model_year,milage,accident,clean_title,price,turbo,is_luxury,is_upper_class,engine_score
2023,1185.0,0,1,57300.0,0,0,0,0.081
2019,55000.0,1,1,33000.0,0,0,0,0.717
2016,78110.0,0,1,37500.0,0,0,0,-0.771
2018,50340.0,0,1,52500.0,0,0,0,-0.393
2021,20678.0,0,1,69000.0,0,0,0,1.021
2013,70500.0,1,1,22500.0,0,0,0,-0.052
2013,114321.0,1,1,54999.0,0,0,0,0.471
2017,102000.0,0,1,18500.0,0,0,0,-0.774
2011,53401.0,1,1,13999.0,0,0,0,0.107
2018,84500.0,0,1,31450.0,0,0,0,-0.052
2019,37800.0,1,1,25500.0,0,0,0,-0.869
2015,56000.0,0,1,37000.0,0,0,0,-0.083
2022,17381.0,0,1,48815.0,0,0,0,0.842
2011,135000.0,1,1,5999.0,0,0,0,1.045
2021,13232.0,0,1,54000.0,0,0,0,0.879
2016,72784.0,0,1,34900.0,0,0,0,0.84
2013,110000.0,0,1,17500.0,0,0,0,0.714
2016,175000.0,1,1,19000.0,0,0,0,-0.036
2016,60000.0,0,1,24500.0,0,0,0,0.107
2019,50000.0,0,1,27500.0,0,0,0,-0.067
2010,198000.0,1,1,15900.0,0,0,0,0.845
2022,10200.0,0,1,36300.0,0,0,0,0.131
2007,185000.0,0,1,6500.0,0,0,0,-0.838
2015,8984.0,1,1,14000.0,0,0,0,-0.548
2018,82323.0,0,1,67995.0,0,0,0,1.186
2012,265000.0,0,1,10500.0,0,0,0,-0.145
2003,145000.0,0,1,13900.0,0,0,0,-0.774
2020,45617.0,0,1,48000.0,0,0,0,0.917
2021,51902.0,0,1,43775.0,1,0,0,-0.258
2017,153000.0,0,1,18900.0,0,0,0,0.874
2010,90400.0,1,1,11999.0,0,0,0,-0.171
2020,22000.0,1,1,42000.0,0,0,0,0.017
2015,160000.0,0,1,29500.0,0,0,0,-0.074
2023,25300.0,0,1,46000.0,0,0,0,0.31
2011,110000.0,0,1,9900.0,0,0,0,-0.845
2015,49273.0,1,1,47500.0,0,0,0,1.021
2018,60000.0,0,1,31000.0,0,0,0,-0.755
2018,72000.0,0,1,21400.0,0,0,0,0.471
2011,90400.0,1,1,10998.0,0,0,0,0.569
2016,25548.0,0,1,75000.0,0,0,0,1.569
2007,160000.0,1,1,15500.0,0,0,0,1.031
2017,72700.0,1,1,34995.0,0,0,0,0.145
2020,23133.0,0,1,17900.0,0,0,0,1.021
2007,132000.0,0,1,5000.0,0,0,0,-0.824
2016,96000.0,0,1,20499.0,0,0,0,-0.076
2021,36500.0,0,1,48000.0,0,0,0,1.021
2020,59692.0,0,1,25000.0,0,0,0,-0.067
2016,92861.0,1,1,15995.0,0,0,0,1.021
2007,199000.0,1,1,9999.0,0,0,0,1.036
2020,28886.0,0,1,47541.0,0,0,0,1.083
2018,106000.0,0,1,26000.0,0,0,0,-0.071
2009,78980.0,0,1,9200.0,0,0,0,-0.857
2012,69000.0,0,1,18000.0,0,0,0,-0.231
2005,229450.0,0,1,45000.0,0,0,0,0.443
2010,198000.0,1,1,9950.0,0,0,0,-0.124
2021,19200.0,0,1,49000.0,0,0,0,1.021
2006,135000.0,0,1,15000.0,0,0,0,0.645
2008,171000.0,0,1,13850.0,0,0,0,-0.124
2012,110000.0,0,1,13000.0,0,0,0,-0.131
2015,177000.0,0,1,29000.0,0,0,0,0.717
2012,53249.0,0,1,10200.0,0,0,0,-0.019
2015,80124.0,1,1,15995.0,0,0,0,-0.869
2022,8700.0,0,1,63500.0,0,0,0,-0.443
2011,90000.0,0,1,34000.0,0,0,0,-0.024
2017,54700.0,1,1,31000.0,0,0,0,-0.821
2013,102260.0,0,1,19995.0,0,0,0,-0.295
2015,50000.0,1,1,29500.0,0,0,0,-0.036
2017,57912.0,0,1,18750.0,0,0,0,-0.145
2022,6200.0,0,1,81500.0,0,0,0,-0.145
2009,190120.0,1,1,12500.0,0,0,0,0.75
2017,68750.0,0,1,23500.0,0,0,0,-0.036
2008,189500.0,0,1,6000.0,0,0,0,-0.893
2013,110380.0,0,1,6500.0,0,0,0,-0.774
2015,112000.0,0,1,19500.0,0,0,0,-0.845
2005,204884.0,0,1,12000.0,0,0,0,-0.019
2017,75200.0,0,1,36900.0,0,0,0,1.043
2000,57785.0,0,1,8995.0,0,0,0,0.319
2018,60000.0,0,1,62500.0,0,0,0,0.31
2005,142500.0,0,1,6099.0,0,0,0,0.41
2013,93500.0,0,1,9500.0,0,0,0,-0.774
2015,73000.0,0,1,17999.0,0,0,0,-0.024
2017,70579.0,0,1,33950.0,0,0,0,1.007
2014,112600.0,1,1,6499.0,0,0,0,-0.845
2018,19200.0,0,1,40950.0,0,0,0,1.105
2003,135000.0,0,1,4999.0,0,0,0,-0.226
2019,87500.0,0,1,32250.0,0,0,0,-0.067
2020,29000.0,0,1,50000.0,0,0,0,1.131
2020,46000.0,0,1,38500.0,0,0,0,0.06
2015,86170.0,1,1,16250.0,0,0,0,-0.021
2015,23600.0,0,1,62500.0,0,0,0,0.419
2018,39000.0,0,1,35750.0,0,0,0,-0.06
2012,132000.0,1,1,15000.0,0,0,0,0.633
2018,68750.0,0,1,36500.0,0,0,0,0.717
2018,63750.0,0,1,53500.0,0,0,0,0.717
2021,28333.0,0,1,46900.0,1,0,0,-0.091
2015,3400.0,0,1,87500.0,0,0,0,1.055
2015,12700.0,0,1,45000.0,0,0,0,0.167
2013,68750.0,1,1,27000.0,0,0,0,1.055
2018,22700.0,0,1,89900.0,0,0,0,0.057
2014,87892.0,1,1,13800.0,0,0,0,-0.845
2015,58000.0,0,1,30000.0,0,0,0,0.781
2020,32000.0,1,1,27700.0,0,0,0,-0.067
2020,52253.0,0,1,35234.0,1,0,0,-0.091
2015,52100.0,0,1,27890.0,0,0,0,0.471
2016,41500.0,0,1,18000.0,0,0,0,0.167
2019,29140.0,0,1,57000.0,0,0,0,0.06
2016,98000.0,1,1,36000.0,0,0,0,-0.036
2013,49620.0,1,1,10700.0,0,0,0,-0.786
2019,67035.0,1,1,37000.0,0,0,0,-0.06
2015,45241.0,0,1,36900.0,0,0,0,-0.036
2007,171000.0,0,1,5750.0,0,0,0,-0.236
2016,163019.0,0,1,23000.0,0,0,0,1.021
2016,28500.0,0,1,39900.0,0,0,0,0.133
2003,130000.0,1,1,5000.0,0,0,0,-0.321
2022,28262.0,0,1,32324.0,0,0,0,-0.746
2017,116500.0,0,1,35500.0,0,0,0,1.021
2003,100600.0,1,1,15000.0,0,0,0,-0.093
2011,85768.0,0,1,5500.0,0,0,0,-1.152
2011,35134.0,1,1,9400.0,0,0,0,-0.829
2021,8228.0,0,1,71200.0,0,0,0,-0.021
2021,15000.0,0,1,50000.0,0,0,0,0.21
2021,47839.0,0,1,34562.0,0,0,0,-0.576
2010,186268.0,0,1,8500.0,0,0,0,1.036
2019,59400.0,0,1,33500.0,0,0,0,-0.062
2014,142314.0,0,1,16750.0,0,0,0,-0.067
2021,19500.0,0,1,86999.0,0,0,0,0.943
2019,40000.0,0,1,28900.0,0,0,0,0.052
2018,60000.0,0,1,26900.0,0,0,0,-0.821
2002,59700.0,1,1,14900.0,0,0,0,0.54
2016,2950.0,0,1,44500.0,0,0,0,2.545
2018,25000.0,0,1,31000.0,0,0,0,-0.121
2021,10500.0,1,1,10000.0,0,0,0,-0.981
2018,32000.0,0,1,29999.0,0,0,0,-0.745
2014,95000.0,0,1,18900.0,0,0,0,0.633
2007,58500.0,0,1,33800.0,0,0,0,-0.66
2021,70968.0,0,1,56750.0,0,0,0,1.0
2023,3000.0,0,1,68000.0,0,0,0,1.055
2023,2165.0,0,1,77900.0,0,0,0,-0.06
2004,110000.0,1,1,6700.0,0,0,0,-1.045
2021,16100.0,0,1,41500.0,0,0,0,1.021
2014,56534.0,0,1,29500.0,0,0,0,-0.036
2005,133500.0,0,1,10500.0,0,0,0,0.443
2015,90601.0,0,1,26500.0,0,0,0,-1.038
2008,89987.0,0,1,6000.0,0,0,0,-0.124
2007,152520.0,0,1,12240.0,0,0,0,-0.124
2022,53401.0,0,1,41900.0,0,0,0,0.471
2016,18069.0,0,1,22000.0,0,0,0,1.15
2017,9500.0,0,1,47950.0,0,0,0,1.131
2009,92800.0,0,1,14980.0,0,0,0,-0.229
2014,97300.0,0,1,13000.0,0,0,0,-0.274
2022,15000.0,0,1,68420.0,0,0,0,0.757
2016,86250.0,1,1,16500.0,0,0,0,1.105
2016,119000.0,0,1,18750.0,0,0,0,-0.85
2016,83000.0,0,1,15500.0,0,0,0,-0.131
2021,54000.0,0,1,54000.0,0,0,0,0.31
2016,51300.0,0,1,83499.0,0,0,0,0.717
2017,23133.0,0,1,32000.0,0,0,0,0.781
2015,11249.0,1,1,30000.0,0,0,0,0.793
2022,2000.0,0,1,76700.0,0,0,0,1.029
2014,52694.0,0,1,42000.0,0,0,0,0.617
2006,130000.0,1,1,4200.0,0,0,0,-1.064
2013,85252.0,0,1,19990.0,0,0,0,-0.843
2020,51300.0,0,1,59999.0,0,0,0,0.107
2013,111000.0,1,1,6700.0,0,0,0,-0.781
2022,24500.0,0,1,75500.0,0,0,0,0.821
2018,13500.0,0,1,27500.0,0,0,0,-0.771
2012,103466.0,0,1,13000.0,0,0,0,-0.843
2014,28470.0,0,1,65500.0,0,0,0,1.0
2005,12758.0,0,1,45900.0,0,0,0,0.055
2021,10387.0,0,1,25884.0,1,0,0,-0.091
2013,45014.0,0,1,42999.0,0,0,0,0.24
2022,1500.0,0,1,86500.0,0,0,0,0.095
2019,4500.0,0,1,79900.0,0,0,0,1.131
2020,22770.0,0,1,110000.0,0,0,0,0.895
2015,100000.0,1,1,35000.0,0,0,0,0.717
2018,61000.0,0,1,47000.0,0,0,0,0.943
2017,83112.0,0,1,34999.0,0,0,0,-0.121
2017,76100.0,1,1,18999.0,0,0,0,-0.976
2014,181830.0,0,1,9000.0,0,0,0,0.802
2012,167500.0,0,1,15000.0,0,0,0,0.802
2019,56000.0,0,1,34000.0,0,0,0,1.021
2022,20598.0,0,1,54599.0,1,0,0,-0.746
2016,38800.0,0,1,29900.0,0,0,0,1.19
2021,76500.0,0,1,49427.0,0,0,0,0.717
2020,19200.0,0,1,81500.0,0,0,0,0.176
2020,78700.0,0,1,18000.0,0,0,0,-0.817
2015,131986.0,0,1,21500.0,0,0,0,-0.043
2017,116320.0,0,1,38500.0,0,0,0,0.938
2019,91595.0,1,1,23599.0,0,0,0,-1.038
2009,120000.0,0,1,37500.0,0,0,0,1.036
2007,149800.0,0,1,9500.0,0,0,0,-0.057
2004,160700.0,0,1,6500.0,0,0,0,-0.114
2010,127500.0,0,1,11250.0,0,0,0,1.036
2018,63460.0,0,1,33900.0,0,0,0,0.717
2022,17000.0,0,1,47500.0,0,0,0,-0.145
2020,48000.0,0,1,49999.0,0,0,0,0.131
2017,57939.0,0,1,31000.0,0,0,0,0.017
2023,5000.0,0,1,31500.0,0,0,0,1.729
2023,12088.0,0,1,124990.0,0,0,0,0.095
2004,34254.0,0,1,64250.0,0,1,0,1.864
2020,79422.0,0,1,15000.0,0,0,0,0.845
2016,62200.0,0,1,21500.0,0,0,0,0.107
2016,53900.0,1,1,22500.0,0,0,0,-0.124
2005,113000.0,0,1,10900.0,0,0,0,-0.898
2014,64500.0,0,1,33000.0,0,0,0,-0.043
2020,7396.0,0,1,33242.0,0,0,0,-0.041
2016,54225.0,1,1,23995.0,0,0,0,-0.036
2020,53000.0,1,1,38500.0,0,0,0,-0.024
2011,47000.0,0,1,7000.0,0,0,0,0.74
2014,89500.0,0,1,36800.0,0,0,0,1.031
2018,75000.0,1,1,30000.0,0,0,0,0.471
2019,60000.0,0,1,45000.0,0,0,0,0.31
2015,128000.0,0,1,47500.0,0,0,0,0.717
2010,96419.0,1,1,15900.0,0,0,0,0.981
2009,130200.0,0,1,28900.0,0,0,0,0.888
2023,15000.0,0,1,45900.0,0,0,0,-0.024
2018,31917.0,0,1,86900.0,0,0,0,0.964
2022,16478.0,0,1,53500.0,0,0,0,1.236
2016,121500.0,0,1,16750.0,0,0,0,0.843
2022,26000.0,0,1,47500.0,0,0,0,-0.067
2019,31000.0,0,1,65000.0,0,0,0,1.152
2020,22227.0,0,1,30000.0,0,0,0,-0.746
2018,53500.0,0,1,28900.0,0,0,0,-0.771
2015,69350.0,0,1,23000.0,0,0,0,-0.707
2021,37594.0,0,1,53722.0,1,0,0,-0.091
2021,32000.0,0,1,50927.0,0,0,0,0.879
2018,39300.0,1,1,31750.0,0,0,0,-0.083
2020,17340.0,0,1,72980.0,0,0,0,-0.738
2008,132600.0,0,1,14490.0,0,0,0,-0.231
2018,41500.0,0,1,64000.0,0,0,0,1.271
2021,4700.0,0,1,60500.0,0,0,0,0.645
2011,132348.0,0,1,24000.0,0,0,0,-0.726
2019,56846.0,0,1,26000.0,0,0,0,0.879
2013,157500.0,1,1,15900.0,0,0,0,0.633
2023,989.0,0,1,79950.0,0,0,0,0.352
2017,79995.0,0,1,17390.0,0,0,0,-0.041
2016,112000.0,1,1,14599.0,0,0,0,-0.021
2012,123112.0,0,1,15495.0,0,0,0,0.714
2011,163500.0,1,1,5000.0,0,0,0,0.845
1998,39132.0,0,1,36999.0,0,0,0,-0.248
2015,82900.0,0,1,18750.0,0,0,0,-0.774
2019,41059.0,1,1,35645.0,0,0,0,-0.041
2018,81000.0,0,1,67000.0,0,0,0,1.055
2007,65019.0,0,1,41500.0,0,0,0,2.121
2021,9500.0,0,1,79990.0,0,0,0,-0.738
2017,58000.0,0,1,18800.0,0,0,0,-0.976
2016,74422.0,1,1,21900.0,0,0,0,1.148
2015,110000.0,0,1,11999.0,0,0,0,-0.707
2003,140000.0,1,1,6000.0,0,0,0,0.74
2019,29000.0,0,1,30000.0,0,0,0,-0.067
2017,41500.0,0,1,49900.0,0,0,0,1.105
2011,46000.0,0,1,81500.0,0,0,0,1.271
2011,103111.0,0,1,11400.0,0,0,0,-0.788
2007,170000.0,1,1,6700.0,0,0,0,-0.319
2019,33000.0,1,1,49750.0,0,0,0,-0.029
2023,8200.0,0,1,89000.0,0,0,0,0.19
2016,7800.0,0,1,43900.0,0,0,0,0.443
2014,164500.0,0,1,16500.0,0,0,0,0.633
2005,123500.0,1,1,12500.0,0,0,0,0.029
2012,90000.0,0,1,16000.0,0,0,0,1.036
2014,6400.0,0,1,52500.0,0,0,0,0.007
2023,4786.0,0,1,92500.0,0,0,0,0.967
1998,49170.0,0,1,12500.0,0,0,0,0.29
2019,26000.0,1,1,27450.0,0,0,0,-0.007
2016,68750.0,0,1,23000.0,0,0,0,-0.067
2018,48900.0,0,1,28900.0,0,0,0,-0.745
2011,110000.0,1,1,7500.0,0,0,0,0.569
2012,135000.0,0,1,25000.0,0,0,0,0.874
2017,89144.0,0,1,29999.0,0,0,0,-0.067
2019,32705.0,0,1,45999.0,0,0,0,1.19
2000,97000.0,0,1,27500.0,0,0,0,-0.152
2022,4279.0,0,1,112500.0,0,0,0,1.055
2021,4500.0,0,1,48000.0,0,0,0,-0.557
2000,150000.0,1,1,6500.0,0,0,0,0.574
2010,168422.0,1,1,9500.0,0,0,0,-0.179
2015,97700.0,0,1,39950.0,0,0,0,1.152
2001,91420.0,1,1,3200.0,0,0,0,-0.945
2014,74500.0,0,1,13750.0,0,0,0,0.74
2006,162482.0,1,1,6500.0,0,0,0,0.602
2001,74582.0,0,1,7500.0,0,0,0,-0.236
2018,4590.0,0,1,55000.0,0,0,0,-0.398
2018,67400.0,0,1,30000.0,0,0,0,0.471
2017,80124.0,0,1,39995.0,0,0,0,-0.041
2012,16000.0,1,1,15000.0,0,0,0,-0.043
2019,10120.0,0,1,57850.0,0,0,0,-0.746
2018,29500.0,0,1,29000.0,0,0,0,-0.817
2011,18515.0,1,1,9950.0,1,0,0,0.006
2012,152000.0,0,1,13900.0,0,0,0,0.414
2018,18950.0,0,1,77999.0,0,0,0,0.574
2003,143600.0,0,1,5000.0,0,0,0,-0.921
2002,16300.0,0,1,9995.0,0,0,0,0.676
2017,49208.0,0,1,18995.0,0,0,0,0.938
2020,58000.0,0,1,38000.0,0,0,0,0.879
2018,66500.0,0,1,25500.0,0,0,0,0.717
2015,77000.0,0,1,26000.0,0,0,0,-0.836
2018,33455.0,0,1,67000.0,0,0,0,0.845
2003,170000.0,0,1,6500.0,0,0,0,0.633
2023,1885.0,0,1,47500.0,0,0,0,-0.576
2018,25100.0,1,1,54000.0,0,0,0,1.19
2017,71000.0,1,1,25900.0,0,0,0,-0.06
2019,77500.0,1,1,30000.0,0,0,0,-0.757
2012,119500.0,0,1,18500.0,0,0,0,-0.85
2021,36000.0,0,1,69950.0,0,0,0,0.31
2019,39000.0,0,1,39000.0,0,0,0,-0.736
2017,54225.0,0,1,75000.0,0,0,0,1.131
2011,153800.0,0,1,7850.0,0,0,0,1.036
2019,139116.0,1,1,24899.0,0,0,0,-0.041
2016,50000.0,0,1,75000.0,0,0,0,0.84
2016,83150.0,0,1,26500.0,0,0,0,-0.079
2023,2537.0,0,1,56900.0,0,0,0,0.131
2015,67998.0,0,1,35750.0,0,0,0,-0.031
2007,140500.0,1,1,3500.0,0,0,0,-0.138
2007,58816.0,1,1,17000.0,0,0,0,0.54
2017,38700.0,0,1,80300.0,0,0,0,0.131
2016,94500.0,0,1,24999.0,0,0,0,-0.774
2001,43000.0,0,1,12990.0,0,0,0,-0.019
2004,187450.0,0,1,11200.0,0,0,0,0.421
2018,49890.0,0,1,38400.0,0,0,0,1.021
2021,34672.0,0,1,65990.0,0,0,0,0.31
2015,98313.0,0,1,43449.0,0,0,0,-0.036
2001,60000.0,0,1,35000.0,0,0,0,-0.064
2016,61773.0,0,1,22999.0,0,0,0,-0.721
2018,46000.0,0,1,55000.0,0,0,0,0.164
2023,16500.0,0,1,54000.0,0,0,0,-0.64
1994,94100.0,0,1,20000.0,0,0,0,0.161
2018,24965.0,1,1,36791.0,0,0,0,-0.576
2017,70579.0,0,1,38880.0,0,0,0,-0.052
2018,19000.0,0,1,48000.0,0,0,0,-0.086
2018,47700.0,0,1,25925.0,0,0,0,0.074
2015,121630.0,0,1,3999.0,0,0,0,-0.398
2017,94500.0,1,1,45000.0,0,0,0,0.717
2024,3500.0,0,1,28995.0,0,0,0,1.188
2016,64549.0,0,1,10995.0,0,0,0,0.757
2022,41545.0,0,0,71998.0,1,0,0,0.006
2020,94000.0,0,1,62000.0,0,0,0,0.131
2018,61000.0,0,1,21800.0,0,0,0,-0.817
2012,163500.0,0,1,5949.0,0,0,0,-0.071
2005,28182.0,0,1,53500.0,0,0,0,1.005
2016,35943.0,0,1,59500.0,0,0,1,2.095
2018,117878.0,0,1,31450.0,0,0,0,0.842
2018,50000.0,0,1,55000.0,0,0,0,-0.024
2005,16000.0,0,1,26500.0,0,0,0,0.94
2022,15107.0,0,1,9750.0,1,0,0,-0.746
2015,40000.0,0,1,83000.0,0,0,0,1.198
2019,15882.0,0,1,130000.0,0,0,0,0.812
2012,106731.0,1,1,20000.0,0,0,0,-0.274
2021,44486.0,0,1,48149.0,1,0,0,-0.258
2017,69205.0,1,1,2990.0,0,0,0,0.471
2013,19079.0,0,1,10995.0,0,0,0,-0.84
2018,11806.0,0,1,68000.0,0,0,0,1.026
2020,17451.0,0,1,69995.0,1,0,0,-0.746
2004,100000.0,0,1,8550.0,0,0,0,-0.229
2014,46250.0,0,1,20500.0,0,0,0,-0.043
2018,55403.0,0,1,69790.0,0,0,0,1.021
2017,62660.0,1,1,23600.0,0,0,0,-0.043
2020,40906.0,0,1,37999.0,0,0,0,-0.738
2001,113500.0,0,1,11000.0,0,0,0,1.193
2013,83500.0,0,1,21000.0,0,0,0,-0.843
2007,123921.0,0,1,9975.0,0,0,0,-0.117
2015,39000.0,0,1,35999.0,0,0,0,-0.5
2019,54000.0,1,1,28500.0,0,0,0,-0.771
2021,14442.0,0,1,38500.0,0,0,0,-0.095
2017,98000.0,0,1,17500.0,0,0,0,-0.083
2013,139355.0,0,1,20900.0,0,0,0,-0.052
2010,135000.0,0,1,9900.0,0,0,0,-0.131
2008,162000.0,0,1,15999.0,0,0,0,0.94
2011,90189.0,1,1,7999.0,0,0,0,-0.171
2003,86111.0,0,1,29000.0,0,0,0,-0.229
2007,155000.0,0,1,5000.0,0,0,0,0.717
2020,54000.0,0,1,47995.0,0,0,0,0.917
2005,227010.0,1,1,7850.0,0,0,0,-0.145
2018,24915.0,0,1,13980.0,0,0,0,-0.041
2021,6682.0,0,1,38700.0,0,0,0,-0.746
2006,51000.0,0,1,45000.0,0,0,0,-0.095
2006,103000.0,1,1,10300.0,0,0,0,-0.443
2010,130000.0,0,1,8000.0,0,0,0,-0.124
2007,115000.0,1,1,11250.0,0,0,0,-0.443
2021,171000.0,0,1,7999.0,0,0,0,0.645
2000,4900.0,0,1,52500.0,0,0,0,0.688
2022,14950.0,0,1,22989.0,0,0,0,-0.067
2016,59000.0,1,1,67000.0,0,0,0,-0.095
2017,83400.0,0,1,32500.0,0,0,0,0.852
2014,81219.0,0,1,10750.0,0,0,0,-0.824
2014,138450.0,0,1,5000.0,0,0,0,0.443
2010,170000.0,0,1,7600.0,0,0,0,-0.021
2018,44101.0,0,1,100000.0,0,0,0,0.448
2012,142215.0,0,1,24500.0,0,0,0,0.981
2002,150000.0,1,1,10400.0,0,0,0,0.574
2010,186117.0,1,1,5000.0,0,0,0,-0.229
2016,104733.0,1,1,20995.0,0,0,0,0.717
2020,37594.0,0,1,52991.0,1,0,0,-0.091
2016,9612.0,0,1,26900.0,0,0,0,0.419
2020,69185.0,0,0,37405.0,0,0,0,0.055
2017,39000.0,1,1,39500.0,0,0,0,0.06
2012,110000.0,1,1,9000.0,0,0,0,0.107
2007,116000.0,1,1,6700.0,0,0,0,-0.295
2016,50000.0,0,1,82950.0,0,0,0,0.24
2019,64517.0,1,1,49999.0,0,0,0,0.131
2016,17381.0,0,1,45950.0,1,0,0,0.006
2021,19605.0,0,1,25980.0,0,0,0,-0.884
2011,185000.0,1,1,3995.0,0,0,0,-0.143
2022,9000.0,0,1,72000.0,0,0,0,1.188
2020,40000.0,0,1,32000.0,0,0,0,-0.06
2004,229000.0,0,1,9950.0,0,0,0,-0.186
2012,191775.0,0,1,11250.0,0,0,0,0.626
2014,48900.0,0,1,29500.0,0,0,0,0.133
2008,80000.0,1,1,8500.0,0,0,0,-0.119
2019,69600.0,0,1,37999.0,0,0,0,0.131
2018,112552.0,0,1,18795.0,0,0,0,-0.576
2007,183000.0,0,1,10000.0,0,0,0,-0.774
2022,2121.0,0,1,21000.0,0,0,0,-0.745
2012,120000.0,0,1,7000.0,0,0,0,0.238
2011,79000.0,1,1,54490.0,0,0,1,2.24
2006,207000.0,0,1,10998.0,0,0,0,0.421
2021,850.0,0,1,85989.0,0,0,1,2.095
2016,67998.0,0,1,12999.0,0,0,0,-0.869
2018,47885.0,1,1,36880.0,0,0,0,-0.048
2012,125575.0,0,1,22000.0,0,0,0,-0.843
2023,255.0,0,1,62500.0,0,0,0,1.19
2015,134500.0,0,1,28000.0,0,0,0,0.717
2015,32000.0,0,1,49000.0,0,0,0,0.852
2013,40570.0,1,1,29990.0,0,0,0,0.857
2003,75000.0,1,1,12850.0,0,0,0,1.895
2017,60000.0,0,1,36300.0,0,0,0,0.471
2018,48500.0,0,1,43500.0,0,0,0,1.131
2010,12500.0,0,1,53800.0,0,0,0,1.15
2017,60000.0,0,1,55000.0,0,0,0,0.74
2023,3500.0,0,1,87500.0,1,0,1,1.137
2021,41000.0,0,1,51074.0,0,0,0,0.736
2012,134000.0,1,1,5500.0,0,0,0,-0.774
2022,7738.0,0,1,34000.0,0,0,0,-0.774
2014,134000.0,0,1,24950.0,0,0,0,0.66
